date,pollster,n,party,value
2025-03-06,Infratest dimap,1325,AfD,0.21
2025-03-07,Forschungsgruppe Wahlen,1249,CDUCSU,0.28
2025-03-07,Forschungsgruppe Wahlen,1249,AfD,0.21
2025-03-09,INSA,1201,CDUCSU,0.28
2025-03-09,INSA,1201,AfD,0.21
2025-03-10,INSA,2003,CDUCSU,0.285
2025-03-10,INSA,2003,AfD,0.22
2025-03-11,Forsa,2504,CDUCSU,0.28
2025-03-11,Forsa,2504,AfD,0.22
2025-03-15,INSA,1201,CDUCSU,0.28
2025-03-15,INSA,1201,AfD,0.22
2025-03-17,INSA,2008,CDUCSU,0.29
2025-03-17,INSA,2008,AfD,0.22
2025-03-18,Forsa,2501,CDUCSU,0.27
2025-03-18,Forsa,2501,AfD,0.23
2025-03-21,Forschungsgruppe Wahlen,1305,CDUCSU,0.27
2025-03-21,Forschungsgruppe Wahlen,1305,AfD,0.22
2025-03-21,INSA,1202,CDUCSU,0.27
2025-03-21,INSA,1202,AfD,0.23
2025-03-24,INSA,2004,CDUCSU,0.27
2025-03-24,INSA,2004,AfD,0.235
2025-03-25,Forsa,2502,CDUCSU,0.26
2025-03-25,Forsa,2502,AfD,0.23
2025-03-26,YouGov,1890,CDUCSU,0.26
2025-03-26,YouGov,1890,AfD,0.24
2025-03-27,Allensbach,1031,CDUCSU,0.295
2025-03-27,Allensbach,1031,AfD,0.21
2025-03-28,Verian,1381,CDUCSU,0.27
2025-03-28,Verian,1381,AfD,0.22
2025-03-29,INSA,1204,CDUCSU,0.26
2025-03-29,INSA,1204,AfD,0.23
2025-03-31,INSA,2006,CDUCSU,0.265
2025-03-31,INSA,2006,AfD,0.235
2025-04-01,Forsa,2508,CDUCSU,0.25
2025-04-01,Forsa,2508,AfD,0.24
2025-04-03,Infratest dimap,1334,CDUCSU,0.26
2025-04-03,Infratest dimap,1334,AfD,0.24
2025-04-05,INSA,1206,CDUCSU,0.24
2025-04-05,INSA,1206,AfD,0.24
2025-04-07,GMS,1022,CDUCSU,0.26
2025-04-07,GMS,1022,AfD,0.25
2025-04-07,INSA,2008,CDUCSU,0.245
2025-04-07,INSA,2008,AfD,0.245
2025-04-08,Forsa,2501,CDUCSU,0.25
2025-04-08,Forsa,2501,AfD,0.24
2025-04-11,Forschungsgruppe Wahlen,1322,CDUCSU,0.26
2025-04-11,Forschungsgruppe Wahlen,1322,AfD,0.24
2025-04-12,INSA,1202,CDUCSU,0.25
2025-04-12,INSA,1202,AfD,0.24
2025-04-14,INSA,2002,CDUCSU,0.255
2025-04-14,INSA,2002,AfD,0.245
2025-04-15,Forsa,2502,CDUCSU,0.25
2025-04-15,Forsa,2502,AfD,0.24
2025-04-19,Allensbach,1048,CDUCSU,0.27
2025-04-19,Allensbach,1048,AfD,0.235
2025-04-19,INSA,1205,CDUCSU,0.25
2025-04-19,INSA,1205,AfD,0.24
2025-04-22,Forsa,1502,CDUCSU,0.25
2025-04-22,Forsa,1502,AfD,0.26
2025-04-22,INSA,2010,CDUCSU,0.25
2025-04-22,INSA,2010,AfD,0.25
2025-04-25,Verian,1469,CDUCSU,0.26
2025-04-25,Verian,1469,AfD,0.24
2025-04-25,INSA,1204,CDUCSU,0.25
2025-04-25,INSA,1204,AfD,0.25
2025-04-28,INSA,2006,CDUCSU,0.25
2025-04-28,INSA,2006,AfD,0.25
2025-04-29,Forsa,2004,CDUCSU,0.24
2025-04-29,Forsa,2004,AfD,0.26
2025-04-30,YouGov,1987,CDUCSU,0.26
2025-04-30,YouGov,1987,AfD,0.26
2025-05-02,Forschungsgruppe Wahlen,1297,CDUCSU,0.27
2025-05-02,Forschungsgruppe Wahlen,1297,AfD,0.23
2025-05-03,INSA,1204,CDUCSU,0.25
2025-05-03,INSA,1204,AfD,0.24
2025-05-05,Forsa,1503,CDUCSU,0.25
2025-05-05,Forsa,1503,AfD,0.25
2025-05-05,INSA,2003,CDUCSU,0.245
2025-05-05,INSA,2003,AfD,0.245
2025-05-07,Infratest dimap,1325,CDUCSU,0.27
2025-05-07,Infratest dimap,1325,AfD,0.23
2025-05-10,INSA,1203,CDUCSU,0.25
2025-05-10,INSA,1203,AfD,0.24
2025-05-12,INSA,2004,CDUCSU,0.25
2025-05-12,INSA,2004,AfD,0.245
2025-05-13,Forsa,3001,CDUCSU,0.25
2025-05-13,Forsa,3001,AfD,0.25
2025-05-14,YouGov,1927,CDUCSU,0.27
2025-05-14,YouGov,1927,AfD,0.25
2025-05-16,INSA,1205,CDUCSU,0.26
2025-05-16,INSA,1205,AfD,0.25
2025-05-19,GMS,1012,CDUCSU,0.26
2025-05-19,GMS,1012,AfD,0.23
2025-05-19,INSA,2008,CDUCSU,0.26
2025-05-19,INSA,2008,AfD,0.245
2025-05-20,Forsa,2504,CDUCSU,0.26
2025-05-20,Forsa,2504,AfD,0.24
2025-05-21,Verian,1468,CDUCSU,0.26
2025-05-21,Verian,1468,AfD,0.23
2025-05-23,Forschungsgruppe Wahlen,1328,CDUCSU,0.26
2025-05-23,Forschungsgruppe Wahlen,1328,AfD,0.23
2025-05-24,Allensbach,1032,CDUCSU,0.28
2025-05-24,Allensbach,1032,AfD,0.225
2025-05-24,INSA,1198,CDUCSU,0.27
2025-05-24,INSA,1198,AfD,0.24
2025-05-26,INSA,2006,CDUCSU,0.26
2025-05-26,INSA,2006,AfD,0.245
2025-05-27,Forsa,2501,CDUCSU,0.26
2025-05-27,Forsa,2501,AfD,0.24
2025-05-31,INSA,1203,CDUCSU,0.26
2025-05-31,INSA,1203,AfD,0.24
2025-06-02,INSA,2002,CDUCSU,0.265
2025-06-02,INSA,2002,AfD,0.245
2025-06-03,Forsa,2002,CDUCSU,0.27
2025-06-03,Forsa,2002,AfD,0.23
2025-06-04,Infratest dimap,1292,CDUCSU,0.29
2025-06-04,Infratest dimap,1292,AfD,0.23
2025-06-06,Forschungsgruppe Wahlen,1247,CDUCSU,0.27
2025-06-06,Forschungsgruppe Wahlen,1247,AfD,0.23
2025-06-07,INSA,1202,CDUCSU,0.27
2025-06-07,INSA,1202,AfD,0.23
2025-06-10,Forsa,2002,CDUCSU,0.27
2025-06-10,Forsa,2002,AfD,0.24
2025-06-10,INSA,2004,CDUCSU,0.275
2025-06-10,INSA,2004,AfD,0.225
2025-06-14,INSA,1203,CDUCSU,0.27
2025-06-14,INSA,1203,AfD,0.23
2025-06-16,INSA,2006,CDUCSU,0.27
2025-06-16,INSA,2006,AfD,0.23
2025-06-17,Forsa,2502,CDUCSU,0.28
2025-06-17,Forsa,2502,AfD,0.23
2025-06-18,YouGov,1912,CDUCSU,0.28
2025-06-18,YouGov,1912,AfD,0.23
2025-06-19,Verian,1462,CDUCSU,0.28
2025-06-19,Verian,1462,AfD,0.23
2025-06-20,Allensbach,1054,CDUCSU,0.29
2025-06-20,Allensbach,1054,AfD,0.23
2025-06-21,INSA,1205,CDUCSU,0.28
2025-06-21,INSA,1205,AfD,0.23
2025-06-23,Forsa,2003,CDUCSU,0.28
2025-06-23,Forsa,2003,AfD,0.24
2025-06-23,INSA,2002,CDUCSU,0.275
2025-06-23,INSA,2002,AfD,0.23
2025-06-27,Forschungsgruppe Wahlen,1378,CDUCSU,0.29
2025-06-27,Forschungsgruppe Wahlen,1378,AfD,0.22
2025-06-27,INSA,1202,CDUCSU,0.28
2025-06-27,INSA,1202,AfD,0.24
2025-07-01,Forsa,2501,CDUCSU,0.28
2025-07-01,Forsa,2501,AfD,0.24
2025-07-01,GMS,1007,CDUCSU,0.29
2025-07-01,GMS,1007,AfD,0.22
2025-07-01,INSA,2008,CDUCSU,0.28
2025-07-01,INSA,2008,AfD,0.235
2025-07-03,Infratest dimap,1312,CDUCSU,0.3
2025-07-03,Infratest dimap,1312,AfD,0.23
2025-07-05,INSA,1205,CDUCSU,0.28
2025-07-05,INSA,1205,AfD,0.24
2025-07-07,INSA,2007,CDUCSU,0.28
2025-07-07,INSA,2007,AfD,0.235
2025-07-08,Forsa,2503,CDUCSU,0.27
2025-07-08,Forsa,2503,AfD,0.24
2025-07-12,INSA,1202,CDUCSU,0.28
2025-07-12,INSA,1202,AfD,0.24
2025-07-14,INSA,2004,CDUCSU,0.275
2025-07-14,INSA,2004,AfD,0.235
2025-07-15,Forsa,2503,CDUCSU,0.26
2025-07-15,Forsa,2503,AfD,0.24
2025-07-16,YouGov,1820,CDUCSU,0.27
2025-07-16,YouGov,1820,AfD,0.25
2025-07-19,Allensbach,1054,CDUCSU,0.29
2025-07-19,Allensbach,1054,AfD,0.23
2025-07-19,INSA,1205,CDUCSU,0.27
2025-07-19,INSA,1205,AfD,0.24
2025-07-21,INSA,2005,CDUCSU,0.275
2025-07-21,INSA,2005,AfD,0.24
