date,pollster,n,party,value
2026-03-03,Forsa,2503,CDUCSU,0.26
2026-03-03,Forsa,2503,AfD,0.24
2026-03-03,GMS,1016,CDUCSU,0.26
2026-03-03,GMS,1016,AfD,0.24
2026-03-03,INSA,2002,CDUCSU,0.255
2026-03-03,INSA,2002,AfD,0.25
2026-03-05,Infratest dimap,1317,CDUCSU,0.28
2026-03-05,Infratest dimap,1317,AfD,0.23
2026-03-07,INSA,1200,CDUCSU,0.26
2026-03-07,INSA,1200,AfD,0.25
2026-03-10,Forsa,2502,CDUCSU,0.26
2026-03-10,Forsa,2502,AfD,0.24
2026-03-10,INSA,2003,CDUCSU,0.26
2026-03-10,INSA,2003,AfD,0.245
2026-03-12,Verian,1471,CDUCSU,0.26
2026-03-12,Verian,1471,AfD,0.23
2026-03-14,INSA,1201,CDUCSU,0.25
2026-03-14,INSA,1201,AfD,0.25
2026-03-17,Forsa,2503,CDUCSU,0.27
2026-03-17,Forsa,2503,AfD,0.23
2026-03-17,INSA,2002,CDUCSU,0.255
2026-03-17,INSA,2002,AfD,0.26
2026-03-17,YouGov,1851,CDUCSU,0.26
2026-03-17,YouGov,1851,AfD,0.26
2026-03-21,Allensbach,1045,CDUCSU,0.28
2026-03-21,Allensbach,1045,AfD,0.23
2026-03-21,INSA,1205,CDUCSU,0.26
2026-03-21,INSA,1205,AfD,0.25
2026-03-24,Forsa,2501,CDUCSU,0.26
2026-03-24,Forsa,2501,AfD,0.25
2026-03-24,INSA,2010,CDUCSU,0.26
2026-03-24,INSA,2010,AfD,0.26
2026-03-27,Forschungsgruppe Wahlen,1206,CDUCSU,0.26
2026-03-27,Forschungsgruppe Wahlen,1206,AfD,0.26
2026-03-28,INSA,1205,CDUCSU,0.26
2026-03-28,INSA,1205,AfD,0.26
2026-03-31,Forsa,2504,CDUCSU,0.26
2026-03-31,Forsa,2504,AfD,0.25
2026-03-31,INSA,2006,CDUCSU,0.26
2026-03-31,INSA,2006,AfD,0.26
