storenum,opendate,city,state,lat,lon
1203,1988-06-02,Sun City Center,FL,27.713353,-82.35965
1204,1988-09-01,Lake Charles,LA,30.165907,-93.24905
1205,1988-11-01,Macclenny,FL,30.267664,-82.12457
1206,1988-05-03,Baton Rouge,LA,30.411391,-91.1497
1207,1988-05-03,Panama City,FL,30.188585,-85.56392
1208,1988-05-03,Wheat Ridge,CO,39.774341,-105.10036
1209,1989-02-02,Lincolnton,NC,35.473447,-81.24094
1210,1988-10-03,Nicholasville,KY,37.883886,-84.571
1211,1988-08-16,Harvard,IL,42.424338,-88.61431
1212,1988-09-01,Saraland,AL,30.831636,-88.09386
1213,1988-10-03,Brooksville,FL,28.555346,-82.53601
1214,1989-02-02,Colby,KS,39.394701,-101.04485
1215,1988-11-01,Calhoun,GA,34.4966,-84.93798
1216,1988-10-03,Carrollton,TX,32.960374,-96.89163
1217,1988-11-01,Franklin,NC,35.185018,-83.39032
1218,1988-10-11,Casa Grande,AZ,32.878138,-111.73499
1219,1988-11-01,Jacksonville,FL,30.449096,-81.65651
1220,1989-04-03,Orlando,FL,28.52493,-81.439940000000007
1221,1988-10-03,Wichita,KS,37.67129,-97.4372
1222,1988-11-17,Pensacola,FL,30.526345,-87.27734
1223,1988-11-17,Tallahassee,FL,30.554434,-84.25979
1224,1988-06-02,Pensacola,FL,30.48787,-87.18937
1225,1988-06-30,Orange Park,FL,30.160965,-81.72916
1226,1988-11-17,Ashland City,TN,36.299293,-87.06949
1227,1988-11-10,Augusta,GA,33.512541,-82.09491
1228,1988-12-31,Round Lake,IL,42.366253,-88.09647
1229,1989-04-03,Birmingham,AL,33.356981,-86.81577
1230,1988-11-01,Show Low,AZ,34.271427,-110.03676
1231,1988-11-17,Denver,CO,39.859585,-104.95943
1232,1988-10-03,Belton,TX,31.073329,-97.48642
1233,1988-09-01,Paintsville,KY,37.823275,-82.78167
1234,1988-10-11,Monticello,KY,36.801922,-84.82841
1235,1988-10-03,San Antonio,TX,29.499454,-98.57166
1236,1988-08-16,Goldsboro,NC,35.377069,-77.92463
1237,1988-08-16,Erwin,NC,35.322849,-78.68964
1238,1988-12-31,Fayetteville,NC,35.084163,-78.953
1239,1989-02-02,Urbana,OH,40.112531,-83.76633
1240,1988-10-03,Sierra Vista,AZ,31.562546,-110.24288
1241,1989-06-29,Davenport,IA,41.565433,-90.53924
1242,1988-11-01,Hendersonville,NC,35.353837,-82.41625
1243,1989-02-02,Martinsville,VA,36.696264,-79.86879
1244,1988-11-01,Taylors,SC,34.935636,-82.32238
1245,1989-02-02,Lakeland,FL,28.128494,-81.95625
1246,1988-11-17,Louisville,KY,38.141638,-85.68218
1247,1989-04-03,Hazard,KY,37.274854,-83.19061
1248,1989-04-03,Memphis,TN,35.035466,-89.80329
1249,1989-02-02,San Angelo,TX,31.468911,-100.4387
1252,1989-02-02,Lone Tree,CO,39.541571,-104.92152
1253,1988-12-31,Austin,TX,30.246309,-97.76087
1254,1988-12-31,Waco,TX,31.609834,-97.08821
1255,1989-05-02,Laurinburg,NC,34.779227,-79.45745
1256,1989-04-03,Joliet,IL,41.50798,-88.10553
1257,1989-02-02,Stamford,TX,32.943145,-99.81595
1259,1989-02-02,Corbin,KY,36.942035,-84.10685
1260,1989-02-02,Lucedale,MS,30.873353,-88.58869
1261,1988-12-31,Fayetteville,NC,35.134301,-78.89411
1262,1988-11-17,Rushville,IN,39.614803,-85.43834
1263,1988-11-17,Evansville,IN,37.975476,-87.47506
1264,1988-11-17,Bellefontaine,OH,40.365923,-83.75816
1265,1989-06-29,Saint Louis,MO,38.74785,-90.30258
1266,1988-11-01,Baton Rouge,LA,30.425791,-91.03815
1267,1989-02-02,Sun Prairie,WI,43.189953,-89.2253
1268,1989-02-02,Whiteville,NC,34.312063,-78.70773
1269,1988-11-17,Louisville,KY,38.214982,-85.62207
1270,1988-11-01,North Augusta,SC,33.517435,-81.94945
1271,1989-02-02,Meridian,MS,32.358891,-88.7494
1272,1989-04-03,Snyder,TX,32.760229,-100.95344
1273,1989-04-03,Fountain,CO,38.674013,-104.69627
1274,1989-04-03,Whitewater,WI,42.818747,-88.73279
1275,1989-04-03,Lebanon,IN,40.047966,-86.46592
1276,1989-08-01,Sheboygan,WI,43.736145,-87.72893
1277,1989-02-02,Black River Falls,WI,44.277231,-90.80066
1278,1988-11-01,Perry,OK,36.308588,-97.28809
1279,1989-05-02,Houston,TX,29.885451,-95.39552
1280,1989-06-01,Grand Junction,CO,39.072831,-108.55
1281,1989-02-02,Spartanburg,SC,34.982424,-81.85729
1282,1988-11-01,Concordia,KS,39.568803,-97.64627
1283,1989-02-02,Starke,FL,29.937512,-82.11706
1284,1989-04-03,Phenix City,AL,32.492304,-85.01943
1285,1989-04-03,Ottumwa,IA,41.023872,-92.41741
1286,1989-02-02,Columbia,SC,33.968011,-80.93844
1287,1989-04-03,Burlington,NC,36.072336,-79.4698
1288,1989-04-03,Roxboro,NC,36.414739,-78.97375
1289,1989-02-02,Wilmington,OH,39.463476,-83.84446
1290,1989-05-02,Wilkesboro,NC,36.136991,-81.17462
1291,1989-06-01,Tucson,AZ,32.213291,-110.82559
1292,1989-04-03,Christiansburg,VA,37.136013,-80.41222
1293,1989-04-03,Augusta,GA,33.387089,-82.01237
1294,1989-04-03,Marion,IN,40.58119,-85.66324
1295,1989-02-02,Madill,OK,34.092658,-96.74851
1296,1989-02-02,San Benito,TX,26.111261,-97.63519
1297,1989-05-02,Chiefland,FL,29.453178,-82.86837
1298,1989-08-01,Jacksonville,NC,34.781212,-77.3756
1299,1989-02-02,Cottonwood,AZ,34.723788,-112.01002
1300,1989-02-02,New Bern,NC,35.091472,-77.09936
1301,1989-06-29,Roanoke,VA,37.236753,-79.93549
1302,1989-08-01,Norton,VA,36.942047,-82.63138
1303,1989-08-01,Georgetown,TX,30.643058,-97.64713
1304,1990-11-27,Warsaw,IN,41.281518,-85.81927
1305,1989-06-29,Janesville,WI,42.69146,-89.04277
1306,1989-02-02,Alamogordo,NM,32.839921,-105.97561
1307,1989-05-02,Bradley,IL,41.144256,-87.86239
1308,1989-10-02,Littleton,CO,39.616114,-105.07393
1309,1989-06-01,Salem,VA,37.288807,-80.07821
1310,1989-05-02,Terre Haute,IN,39.393237,-87.3977
1311,1989-10-31,Columbus,GA,32.53554,-84.92583
1312,1989-06-29,Spring Lake,NC,35.211913,-78.97499
1313,1989-08-31,San Antonio,TX,29.363335,-98.49049
1314,1989-06-01,Buford,GA,34.089419,-83.94701
1315,1989-12-30,Cheyenne,WY,41.275932,-104.88279
1316,1989-06-01,Sturgeon Bay,WI,44.844133,-87.38044
1317,1990-10-01,Asheville,NC,35.599363,-82.50007
1318,1989-08-31,Knoxville,TN,36.008048,-83.97962
1319,1989-08-31,Knoxville,TN,36.046598,-83.92511
1320,1990-01-31,Knoxville,TN,35.923517,-83.89042
1321,1989-08-31,Smithfield,NC,35.506459,-78.34446
1322,1989-12-30,Lexington,NC,35.775789,-80.23174
1323,1992-09-01,Peoria,IL,40.709237,-89.63633
1324,1989-06-01,Nogales,AZ,31.37737,-110.9264
1325,1989-06-01,Tucson,AZ,32.260316,-110.98534
1326,1989-06-01,Grand Island,NE,40.916866,-98.38749
1327,1989-04-03,Madison,IN,38.787175,-85.38031
1328,1989-06-01,Winslow,AZ,35.258309,-110.53128
1329,1989-11-16,Logansport,IN,40.754787,-86.36684
1330,1989-04-03,Lima,OH,40.739517,-84.14468
1331,1989-04-03,Sidney,OH,40.284855,-84.15974
1332,1989-08-31,South Sioux City,NE,42.467095,-96.4187
1333,1989-08-01,Van Wert,OH,40.874092,-84.57871
1334,1989-08-31,Claypool,AZ,33.415409,-110.814893
1335,1989-08-01,Lexington,VA,37.794344,-79.47658
1336,1989-08-01,Marion,VA,36.828526,-81.53045
1337,1989-04-03,Elkin,NC,36.283497,-80.84586
1338,1989-06-29,Columbus,GA,32.479492,-84.90942
1339,1989-06-29,Columbia,SC,34.084069,-80.93286
1340,1989-06-29,Lithonia,GA,33.676358,-84.153809999999993
1341,1989-10-31,Evansville,IN,37.966292,-87.63664
1342,1989-06-01,Kenner,LA,30.022853,-90.25133
1344,1989-12-30,Staunton,VA,38.146216,-79.07625
1345,1989-10-02,South Boston,VA,36.701855,-78.92008
1346,1989-10-31,Ocean Springs,MS,30.403286,-88.77565
1347,1989-08-31,San Antonio,TX,29.48618,-98.4568
1348,1990-04-30,Wilmington,NC,34.152021,-77.91346
1349,1989-08-31,Fort Lauderdale,FL,26.179495,-80.27183
1350,1991-11-05,Lynchburg,VA,37.362109,-79.21525
1351,1989-09-16,Beckley,WV,37.79064,-81.19958
1352,1989-11-16,Wallace,NC,34.738793,-77.97788
1353,1989-10-02,New Orleans,LA,29.952605,-90.20536
1354,1989-11-16,Washington,NC,35.560439,-77.03459
1355,1989-10-02,Morehead City,NC,34.729839,-76.75219
1356,1989-10-02,Martinsville,IN,39.442774,-86.41337
1357,1989-10-31,Silver City,NM,32.729758,-108.30206
1358,1989-06-29,Walterboro,SC,32.89989,-80.67195
1359,1989-08-31,Charleston,SC,32.918757,-80.0228
1360,1990-01-31,Oak Hill,WV,37.982775,-81.14533
1361,1989-10-31,Sioux City,IA,42.466292,-96.35291
1362,1989-11-16,Destin,FL,30.391795,-86.4338
1363,1989-10-31,Madison,GA,33.588436,-83.47936
1364,1990-01-31,Lake Havasu City,AZ,34.483582,-114.33694
1365,1989-10-31,Hudson,WI,44.978518,-92.71996
1366,1989-08-01,Merrill,WI,45.181311,-89.70469
1367,1989-10-02,Warner Robins,GA,32.638316,-83.64332
1368,1989-10-02,West Union,OH,38.795145,-83.54335
1369,1989-11-16,Payson,AZ,34.243578,-111.28137
1370,1990-01-31,Bullhead City,AZ,35.097719,-114.59734
1371,1989-06-29,Columbus,IN,39.185341,-85.9456
1372,1990-01-31,Raleigh,NC,35.716105,-78.65734
1373,1990-01-31,Lilburn,GA,33.872371,-84.11655
1374,1989-10-31,Altamonte Springs,FL,28.663913,-81.41112
1375,1989-11-16,Marianna,FL,30.675635,-85.23283
1376,1990-01-31,Hendersonville,TN,36.311047,-86.61173
1377,1989-12-30,Mchenry,IL,42.348406,-88.24769
1378,1989-10-31,Goshen,IN,41.567559,-85.84885
1379,1990-01-31,Greenville,NC,35.626653,-77.37896
1380,1989-12-30,Las Vegas,NM,35.594103,-105.08142
1381,1991-07-02,Apache Junction,AZ,33.416083,-111.5762
1382,1989-10-02,Greenwood,SC,34.225872,-82.15614
1383,1989-11-16,Beaufort,SC,32.445712,-80.74845
1384,1990-01-31,La Junta,CO,37.995879,-103.54001
1385,1990-01-31,Gastonia,NC,35.263287,-81.15312
1386,1990-12-31,Pontiac,IL,40.884053,-88.63376
1387,1990-04-02,Pompano Beach,FL,26.3007,-80.22727
1388,1989-12-30,Kendallville,IN,41.449897,-85.26765
1389,1989-12-30,Boone,IA,42.074515,-93.87437
1390,1990-06-27,Pinellas Park,FL,27.839802,-82.71094
1391,1990-02-24,Daytona Beach,FL,29.153239,-81.02229
1392,1989-08-01,Wilmington,NC,34.221512,-77.88452
1393,1989-10-31,Oskaloosa,IA,41.281669,-92.65534
1394,1989-12-30,Milwaukee,WI,42.966681,-88.03798
1395,1990-10-01,Centralia,IL,38.523736,-89.1257
1396,1989-12-30,Baraboo,WI,43.483503,-89.74753
1397,1990-01-31,Albuquerque,NM,35.196446,-106.67336
1398,1990-01-31,Lake Worth,FL,26.609226,-80.12874
1399,1989-10-31,Bedford,VA,37.339184,-79.52839
1400,1990-06-27,Athens,GA,33.945619,-83.41732
1401,1990-10-29,Naperville,IL,41.764779,-88.14579
1403,1990-01-31,Cornelia,GA,34.514215,-83.54118
1404,1990-01-31,Lake Zurich,IL,42.199957,-88.05859
1405,1990-08-01,Bay City,TX,28.945269,-95.9357
1406,1990-01-31,Winchester,VA,39.179076,-78.16653
1407,1989-12-30,Lebanon,OH,39.440152,-84.22175
1408,1990-01-31,Tallahassee,FL,30.446766,-84.32394
1409,1990-04-02,Houston,TX,29.802473,-95.5618
1410,1990-04-02,Troy,OH,40.036525,-84.20629
1411,1990-01-31,Green Valley,AZ,31.857504,-111.00904
1412,1990-04-02,Laramie,WY,41.232815,-105.75364
1413,1990-04-30,Crystal Lake,IL,42.226623,-88.33066
1414,1990-01-31,Belen,NM,34.646779,-106.7648
1415,1990-01-31,Spirit Lake,IA,43.428983,-95.10892
1416,1990-01-31,Napoleon,OH,41.388278,-84.12511
1417,1991-11-04,Prescott,AZ,34.589477,-112.44726
1418,1990-01-31,O Fallon,IL,38.589849,-89.91207
1419,1990-01-31,Fort Wayne,IN,41.150677,-85.12181
1420,1990-01-31,Streamwood,IL,42.023977,-88.17657
1421,1990-01-31,Washington,IL,40.701037,-89.44294
1422,1990-01-31,Alma,MI,43.377113,-84.66256
1423,1990-04-02,Saint Johns,MI,42.998998,-84.57704
1424,1994-03-01,Colonial Heights,VA,37.265403,-77.40438
1425,1990-01-31,Columbia City,IN,41.166034,-85.48313
1426,1989-11-16,Ashland,KY,38.473961,-82.64532
1427,1989-10-31,Circleville,OH,39.598236,-82.94285
1428,1989-12-30,Mount Pleasant,MI,43.60616,-84.78306
1429,1990-01-31,Fremont,OH,41.35307,-83.11217
1430,1989-12-30,Oshkosh,WI,44.018871,-88.61324
1431,1990-01-31,Keokuk,IA,40.409641,-91.40001
1432,1990-04-02,Cadillac,MI,44.243788,-85.46006
1433,1990-01-31,Celina,OH,40.542778,-84.58232
1434,1990-01-31,Colorado Springs,CO,38.837542,-104.83632
1435,1990-01-31,Creston,IA,41.070905,-94.38448
1436,1990-05-30,West Palm Beach,FL,26.659344,-80.12704
1437,1990-04-02,Guymon,OK,36.739447,-101.48851
1438,1990-08-01,Cedar City,UT,37.75164,-113.16557
1439,1990-05-30,Washington,UT,37.144146,-113.49671
1440,1990-05-30,Tooele,UT,40.560528,-112.29455
1441,1990-04-02,Cincinnati,OH,39.278295,-84.33049
1442,1991-01-30,Page,AZ,36.726377,-111.4284
1443,1990-04-02,Cincinnati,OH,39.075329,-84.27311
1444,1990-02-24,Jacksonville,FL,30.333022,-81.586
1445,1990-06-27,Port Clinton,OH,41.512855,-82.92948
1446,1990-08-01,Rice Lake,WI,45.517226,-91.72638
1447,1991-10-01,Superior,WI,46.684273,-92.09474
1448,1990-05-30,Ashland,OH,40.867016,-82.31514
1449,1990-08-01,Manitowoc,WI,44.096194,-87.68919
1450,1990-06-27,Ripley,WV,38.803814,-81.70763
1451,1990-01-31,Beardstown,IL,40.005505,-90.42314
1452,1990-01-31,Charlotte,NC,35.107804,-80.82139
1453,1990-01-31,Green Bay,WI,44.530892,-88.04482
1454,1990-02-24,Quincy,IL,39.929597,-91.37415
1455,1990-05-30,Fort Worth,TX,32.762631,-97.17527
1456,1990-08-01,Evanston,WY,41.267546,-110.90607
1457,1990-06-27,Riverton,WY,43.013826,-108.34879
1458,1990-12-03,Fort Oglethorpe,GA,34.948979,-85.25212
1459,1990-05-30,Indianapolis,IN,39.678495,-86.12973
1460,1990-05-30,Hastings,NE,40.589299,-98.38131
1461,1990-08-01,Rock Springs,WY,41.594542,-109.16304
1462,1990-04-30,Greenville,AL,31.8007,-86.60591
1463,1990-08-01,Xenia,OH,39.682836,-83.92144
1464,1990-08-01,Charlotte,NC,35.124032,-80.93954
1465,1990-10-29,Danville,VA,36.622638,-79.39998
1466,1990-10-01,Jacksboro,TN,36.326509,-84.17277
1467,1990-10-01,Jamestown,TN,36.409385,-84.93393
1468,1990-08-01,Batesville,MS,34.309659,-89.963
1469,1990-06-27,Chattanooga,TN,35.028574,-85.15939
1470,1990-06-27,Willmar,MN,45.118846,-95.04504
1471,1990-08-01,New London,WI,44.394143,-88.75521
1472,1990-11-14,Hastings,MN,44.726517,-92.86147
1473,1991-11-05,Mankato,MN,44.15644,-93.99388
1474,1990-12-31,Yuma,AZ,32.704499,-114.64644
1475,1990-05-30,Washington,IA,41.300042,-91.69743
1476,1990-06-27,Clarksville,IN,38.303945,-85.76787
1477,1990-10-29,Summersville,WV,38.30696,-80.87329
1478,1991-09-11,South Point,OH,38.438617,-82.55774
1479,1990-09-04,Valparaiso,IN,41.47339,-87.03165
1480,1991-10-01,Winchester,IN,40.173141,-84.97922
1481,1990-10-29,Birmingham,AL,33.468306,-86.80814
1482,1990-09-04,Tampa,FL,28.005497,-82.54936
1483,1990-08-01,Yankton,SD,42.888538,-97.40958
1484,1990-02-20,Kansas City,MO,38.969806,-94.47256
1485,1991-01-30,Gillette,WY,43.939968,-105.52445
1486,1990-06-27,Farmville,VA,37.307946,-78.40144
1487,1990-09-04,Michigan City,IN,41.707539,-86.87902
1488,1990-01-31,Douglasville,GA,33.769636,-84.74967
1489,1990-08-01,Vernon Hills,IL,42.229856,-87.96779
1490,1990-08-01,Rockford,IL,42.254087,-89.01776
1491,1990-08-01,Indianola,IA,41.354068,-93.57506
1492,1990-08-01,Aurora,CO,39.698387,-104.83956
1493,1990-08-01,Monroeville,AL,31.509039,-87.32416
1494,1990-10-01,Corpus Christi,TX,27.733058,-97.38542
1495,1990-08-01,Dayton,OH,39.840308,-84.12227
1496,1990-08-01,Waterloo,IA,42.475886,-92.33578
1497,1990-10-01,Matteson,IL,41.503468,-87.73695
1498,1991-07-02,Greensboro,NC,36.116854,-79.88291
1499,1995-08-16,Lewisburg,WV,37.80848,-80.44493
1500,1990-08-01,Watertown,SD,44.916657,-97.11346
1501,1990-11-14,Tampa,FL,28.071502,-82.49392
1502,1990-10-29,Roanoke Rapids,NC,36.448592,-77.67144
1503,1990-04-02,Dayton,OH,39.644609,-84.16931
1504,1990-04-02,Miamisburg,OH,39.631525,-84.27074
1505,1990-10-01,Pikeville,KY,37.478169,-82.5189
1506,1990-08-01,Manchester,IA,42.484297,-91.45231
1507,1990-08-01,Wichita,KS,37.750904,-97.23115
1508,1990-10-29,Sheridan,WY,44.801249,-106.96782
1509,1990-08-01,Maquoketa,IA,42.087769,-90.67352
1510,1990-09-04,Florence,KY,38.983853,-84.64401
1511,1990-10-01,Hollywood,FL,25.990494,-80.27326
1512,1990-09-04,Chandler,AZ,33.328951000000004,-111.8735
1513,1991-01-30,Palm Harbor,FL,28.081325,-82.72751
1514,1990-10-29,Arnold,MO,38.42727,-90.38515
1515,1990-10-01,Menomonee Falls,WI,43.151183,-88.11034
1516,1990-08-01,Borger,TX,35.665899,-101.40666
1517,1991-01-30,Pompano Beach,FL,26.279108,-80.11319
1518,1990-10-01,Indianapolis,IN,39.897548,-86.22546
1519,1990-08-01,Jackson,OH,39.034226,-82.63678
1520,1990-10-01,Aberdeen,SD,45.46932,-98.49646
1521,1990-12-03,Cincinnati,OH,39.258124,-84.58733
1522,1990-10-29,Elkins,WV,38.920042,-79.8446
1523,1990-12-03,Glen Allen,VA,37.661647,-77.52632
1524,1993-02-02,Chester,VA,37.350999,-77.43959
1525,1990-12-03,Mechanicsville,VA,37.605641,-77.31536
1526,1990-04-02,Storm Lake,IA,42.646924,-95.1807
1527,1990-06-27,Elizabeth City,NC,36.293192,-76.23692
1528,1990-10-29,Cedar Rapids,IA,42.021016,-91.65231
1529,1990-10-01,York,PA,39.976898,-76.67785
1530,1990-12-31,Cleveland,MS,33.749149,-90.71329
1531,1991-02-27,Dundee,IL,42.101502,-88.28891
1532,1990-09-04,Glendale,AZ,33.624546,-112.1767
1533,1990-12-03,Peoria,AZ,33.573602,-112.23984
1534,1990-12-03,Bismarck,ND,46.768617,-100.75381
1535,1990-10-29,Sioux Falls,SD,43.514392,-96.80375
1536,1990-10-29,Saint Petersburg,FL,27.815953,-82.72865
1537,1991-01-30,Gettysburg,PA,39.827337,-77.22904
1538,1990-10-29,Brookings,SD,44.305418,-96.7906
1539,1990-12-03,Mansfield,OH,40.766056,-82.56749
1540,1990-10-29,South Haven,MI,42.403593,-86.24912
1541,1991-02-27,West Palm Beach,FL,26.719596,-80.22077
1542,1990-08-01,Gaylord,MI,44.989608,-84.67492
1543,1990-10-01,Spearfish,SD,44.48837,-103.87853
1544,1990-12-03,Clarksburg,WV,39.281289,-80.34348
1545,1990-12-31,Grand Forks,ND,47.899217,-97.05896
1546,1990-10-29,Iowa Falls,IA,42.515426,-93.26217
1547,1991-01-30,Lafayette,IN,40.41836,-86.81847
1548,1990-12-03,Watseka,IL,40.784447,-87.74051
1549,1991-09-11,Phoenix,AZ,33.472492,-112.1875
1550,1990-10-01,Gunnison,CO,38.464132,-106.95776
1551,1991-01-30,Franklin,WI,42.896145,-88.00891
1552,1990-12-03,Salisbury,NC,35.679639,-80.46645
1553,1991-01-30,Bloomingdale,IL,41.94954,-88.08256
1554,1991-01-30,Stockton,CA,38.038906,-121.24213
1555,1990-12-03,El Centro,CA,32.783359,-115.57746
1556,1991-10-01,Tinley Park,IL,41.5738,-87.80389
1557,1990-12-03,Fishers,IN,39.95645,-86.00872
1558,1990-12-31,Eden,NC,36.505996,-79.74935
1559,1990-10-29,Las Vegas,NV,36.172744,-115.05795
1560,1991-01-30,Las Vegas,NV,36.121972,-115.0903
1561,1991-12-31,Memphis,TN,35.219882,-89.92588
1562,1990-11-14,Minneapolis,MN,45.186232,-93.29635
1563,1990-08-01,Lancaster,CA,34.728857,-118.32683
1564,1990-08-01,Portsmouth,OH,38.762824,-82.94294
1565,1990-12-03,Williston,ND,48.20496,-103.71908
1566,1990-10-29,Goshen,IN,41.567559,-85.84885
1567,1990-11-14,Dickinson,ND,46.878057,-102.8041
1568,1991-11-05,Hermitage,PA,41.232543,-80.45797
1569,1991-01-30,Maysville,KY,38.624534,-83.76561
1570,1991-01-30,Auburn,IN,41.352638,-85.04792
1571,1990-12-31,Mukwonago,WI,42.872477,-88.34409
1572,1990-12-03,Vernal,UT,40.514262,-109.54223
1573,1990-12-31,Price,UT,39.578473,-110.78678
1574,1991-01-30,Bakersfield,CA,35.344209,-119.02225
1575,1991-01-30,Oroville,CA,39.558586,-121.58923
1576,1991-01-30,Schererville,IN,41.492085,-87.4519
1577,1990-12-31,Buffalo,MN,45.175558,-93.85441
1578,1990-09-04,Roswell,GA,34.032532,-84.31774
1579,1991-01-30,Oxford,NC,36.340501,-78.61595
1580,1991-10-01,Indianapolis,IN,39.795025,-85.97356
1581,1990-12-03,Fargo,ND,46.860864,-96.81602
1583,1991-01-30,Madera,CA,36.914819,-120.15817
1584,1991-01-30,Las Vegas,NV,36.113211,-115.21849
1585,1990-12-31,North Platte,NE,41.129363,-100.77502
1586,1990-10-29,Austell,GA,33.828061,-84.62593
1587,1990-10-29,Modesto,CA,37.671778,-121.01249
1588,1991-01-30,Victorville,CA,34.489466,-117.35321
1589,1991-01-30,Delray Beach,FL,26.458152,-80.1356
1590,1992-03-03,Hialeah,FL,25.938687,-80.3182
1591,1991-11-05,Harrisburg,PA,40.264389,-76.80298
1592,1991-01-30,Bad Axe,MI,43.803691,-83.00181
1593,1990-12-31,Coldwater,MI,41.912776,-85.0142
1594,1991-01-30,Heath,OH,40.017096,-82.34322
1595,1990-11-14,Marysville,OH,40.255973,-83.36391
1596,1990-12-03,Bolingbrook,IL,41.703097,-88.07462
1597,1990-09-04,Tulsa,OK,36.04309,-95.88417
1598,1991-04-02,Phoenix,AZ,33.62414,-112.00416
1599,1991-02-27,Shawnee Mission,KS,38.924739,-94.70473
1600,1991-01-30,Ridgecrest,CA,35.599177,-117.68065
1601,1991-01-30,Carmel,IN,39.970241,-86.15416
1602,1991-01-30,Springfield,IL,39.7778,-89.67982
1603,1990-12-31,Chester,SC,34.720597,-81.21429
1604,1991-01-30,Rapid City,SD,44.085288,-103.21335
1605,1990-10-01,Pensacola,FL,30.408807,-87.31919
1606,1990-11-14,Hixson,TN,35.167987,-85.21158
1607,1991-07-02,Lewistown,PA,40.595359,-77.5774
1608,1991-01-30,Red Bluff,CA,40.183837,-122.24074
1609,1991-01-30,Grand Rapids,MN,47.243062,-93.52599
1610,1991-07-02,Rochester,NY,43.214613,-77.70626
1611,1991-06-04,Fort Gratiot,MI,43.088742,-82.48614
1612,1991-11-05,Tucson,AZ,32.126223,-111.04599
1613,1991-09-11,High Point,NC,36.017647,-80.00628
1614,1990-12-31,Durham,NC,36.034561,-78.86892
1615,1991-07-31,Pittsburg,CA,38.017917,-121.90502
1616,1991-11-05,Susanville,CA,40.474951,-120.67685
1617,1991-12-31,Casper,WY,42.844915,-106.27255
1618,1991-09-11,Merrillville,IN,41.487369,-87.34024
1619,1991-04-02,Rochester,NY,43.087613,-77.6352
1620,1990-11-14,Brewton,AL,31.129008,-87.10173
1621,1991-01-30,Centerville,IA,40.730159,-92.88994
1622,1991-06-04,Tiffin,OH,41.12071,-83.17658
1623,1992-02-04,Wilkes Barre,PA,41.236331,-75.87254
1624,1991-07-31,Bakersfield,CA,35.396411,-118.92268
1625,1991-01-30,Le Mars,IA,42.79728,-96.17167
1626,1991-04-02,Oklahoma City,OK,35.612359,-97.57152
1627,1991-04-02,Dilworth,MN,46.878062,-96.70242
1628,1991-01-30,Sandusky,OH,41.42646,-82.71083
1629,1991-04-02,Brazil,IN,39.52503,-87.12738
1630,1992-02-04,Yreka,CA,41.749249,-122.64479
1631,1991-04-02,Hampton,VA,37.050946,-76.40711
1632,1991-04-02,Alexandria,MN,45.88645,-95.38287
1633,1991-04-30,Saint Cloud,MN,45.526066,-94.20649
1634,1991-07-31,Little Falls,MN,45.994029,-94.37183
1635,1991-07-31,Waukesha,WI,43.015289,-88.20924
1636,1991-04-02,Minot,ND,48.19983,-101.28579
1637,1991-04-02,Omaha,NE,41.348081,-96.04609
1638,1990-11-14,Eufaula,AL,31.876168,-85.17362
1639,1991-01-30,Rochester,IN,41.073678,-86.23521
1640,1991-01-30,State College,PA,40.802661,-77.89936
1641,1991-01-30,Williamston,NC,35.824061,-77.08093
1642,1991-01-30,Charlotte,MI,42.580076,-84.8228
1643,1991-09-11,Fond Du Lac,WI,43.769889,-88.4281
1644,1991-12-31,Lewisburg,PA,40.965348,-76.9139
1645,1991-07-02,Hanford,CA,36.327063,-119.6451
1646,1991-07-31,Mesa,AZ,33.400306,-111.72452
1647,1991-04-02,Decatur,IN,40.831351,-84.93704
1648,1991-07-02,Carson City,NV,39.091507,-119.79896
1649,1991-04-02,Jamestown,ND,46.906983,-98.72826
1650,1991-01-30,Saukville,WI,43.394676,-87.95887
1651,1991-10-01,Vallejo,CA,38.152068,-122.25074
1652,1991-04-02,Pulaski,VA,37.053297,-80.7728
1653,1991-07-31,Weston,WV,39.04101,-80.47731
1654,1991-07-02,Baxter,MN,46.347175,-94.27017
1655,1991-12-31,Crawfordsville,IN,40.034554,-86.89143
1656,1991-10-01,Meadville,PA,41.637502,-80.15214
1657,1991-07-02,Faribault,MN,44.29478,-93.28732
1658,1991-06-04,Thomson,GA,33.490536,-82.5028
1659,1991-07-02,Brighton,CO,39.973251,-104.82407
1660,1991-07-31,Palmdale,CA,34.606146,-118.18495
1661,1991-02-27,Kinston,NC,35.264739,-77.62481
1662,1991-07-02,Statesville,NC,35.840579,-80.87988
1663,1991-02-27,Clyde,NC,35.60089,-82.93536
1664,1993-07-27,Wilson,NC,35.715315,-77.91989
1665,1991-06-04,Muncie,IN,40.215398,-85.43636
1666,1991-06-04,Charlotte,NC,35.222406,-80.79221
1667,1991-10-01,Wabash,IN,40.795068,-85.82953
1668,1991-10-01,Gurnee,IL,42.375821,-87.93517
1669,1991-07-31,Eau Claire,WI,44.780427,-91.48065
1670,1991-09-11,Reading,PA,40.335023,-75.97099
1671,1991-07-31,La Vista,NE,41.183458,-96.05318
1672,1991-07-31,Ashland,WI,46.577191,-90.89707
1673,1992-06-02,Canandaigua,NY,42.85297,-77.29466
1674,1991-12-31,Hagerstown,MD,39.633946,-77.73025
1675,1991-07-02,Lebanon,KY,37.565894,-85.25148
