storenum,opendate,city,state,lat,lon
837,1985-10-01,Thayer,MO,36.543362,-91.52391
838,1986-01-21,Sand Springs,OK,36.139385,-96.16523
839,1985-11-12,Baton Rouge,LA,30.45514,-91.06358
841,1985-10-01,Tipton,IA,41.750868,-91.13361
842,1985-10-01,Pueblo,CO,38.370203,-104.61964
843,1985-09-10,Camilla,GA,31.209854,-84.23667
844,1986-09-02,Morris,IL,41.370642,-88.40749
845,1985-10-01,Buffalo,MO,37.630577,-93.10129
846,1985-10-15,La Grange,TX,29.909764,-96.8745
847,1985-09-17,Dodgeville,WI,42.974296,-90.14404
848,1985-11-12,Southaven,MS,34.96848,-89.99793
849,1986-02-04,Spring,TX,30.056394,-95.38961
850,1985-07-02,Albuquerque,NM,35.106396,-106.57927
851,1986-03-04,Ruidoso Downs,NM,33.342426,-105.56694
852,1985-12-31,Ottawa,IL,41.35263,-88.84734
853,1985-08-20,Mobile,AL,30.646415,-88.23657
854,1986-01-21,Frankfort,IN,40.290615,-86.5028
855,1986-01-21,Union City,GA,33.580878,-84.54611
856,1985-10-01,Bremen,GA,33.723939,-85.14282
857,1985-10-01,Sanford,FL,28.769173,-81.27631
858,1985-11-12,NA,NA,NA,NA
859,1985-11-12,Highland Park,FL,27.918187,-81.493521
860,1985-12-31,Deland,FL,29.021782,-81.33352
861,1985-11-12,Lubbock,TX,33.496603,-101.86923
862,1985-12-31,Hinesville,GA,31.828575,-81.61617
863,1985-10-15,Roanoke,AL,33.159848,-85.36865
864,1985-10-29,Vidalia,GA,32.220155,-82.41493
865,1986-01-21,New Braunfels,TX,29.699844,-98.10754
866,1988-06-30,Mobile,AL,30.586808,-88.18552
867,1986-03-05,Scottsbluff,NE,41.885553,-103.65241
868,1986-03-05,Carlsbad,NM,32.408311,-104.29134
869,1986-01-21,Alamosa,CO,37.471802,-105.83471
870,1985-10-22,Jasper,IN,38.408794,-86.93876
871,1985-10-01,Mountain View,MO,36.996408,-91.71697
872,1986-04-01,Pearland,TX,29.56218,-95.26982
873,1986-03-04,Taos,NM,36.414942,-105.5808
874,1985-11-12,Natchez,MS,31.535545,-91.35434
875,1986-04-29,Ridgeland,MS,32.420814,-90.13134
876,1986-04-29,Many,LA,31.514631,-93.54869
877,1986-03-04,Monroe,NC,35.031947,-80.56002
878,1985-10-29,Cumming,GA,34.201503,-84.09764
879,1985-12-31,Lafayette,TN,36.537994,-86.01497
880,1986-11-11,Irving,TX,32.826729,-96.9614
881,1985-11-12,Lexington,SC,33.991362,-81.250470000000007
882,1986-02-04,Prairie Du Chien,WI,43.036566,-91.11838
883,1986-02-04,Raymondville,TX,26.500175,-97.81013
884,1986-03-18,Shelbyville,IN,39.523797,-85.77208
885,1986-04-01,Seward,NE,40.909197,-97.11206
886,1986-03-11,Fort Dodge,IA,42.499242,-94.18256
887,1987-02-03,Petal,MS,31.358823,-89.2279
888,1986-06-17,Butler,MO,38.259528,-94.32317
889,1986-03-11,Thomasville,GA,30.883208,-83.91237
890,1986-05-20,Orlando,FL,28.591692,-81.24717
891,1987-02-03,Sterling,IL,41.813776,-89.70537
892,1986-03-11,Ankeny,IA,41.725288,-93.60475
893,1986-06-03,Lindsay,OK,34.839562,-97.60045
894,1986-08-05,Tulsa,OK,36.096296,-95.8847
895,1986-07-01,Cuba,MO,38.092097,-91.4163
896,1986-09-02,Grand Prairie,TX,32.675604,-97.02346
897,1986-03-05,Fort Stockton,TX,30.877528,-102.852
898,1986-05-20,Pecos,TX,31.388404,-103.52515
899,1986-06-03,Valdosta,GA,30.807279,-83.28661
900,1986-06-03,Childress,TX,34.38587,-100.28401
901,1986-03-18,Seguin,TX,29.56478,-97.96283
902,1986-03-04,Greencastle,IN,39.652374,-86.87361
903,1986-04-29,Jackson,MS,32.284829,-90.22778
904,1986-01-21,Foley,AL,30.396876,-87.69616
905,1986-06-10,Longmont,CO,40.171484,-105.10033
906,1986-07-15,Gallup,NM,35.534253,-108.84857
907,1986-04-29,Forsyth,GA,33.0409,-83.92941
908,1986-07-15,Orlando,FL,28.463509,-81.47514
909,1986-06-10,Chalmette,LA,29.946404,-89.96118
910,1986-03-04,Lake Geneva,WI,42.587613,-88.45828
911,1986-06-10,Marrero,LA,29.869283,-90.10933
912,1986-06-10,New Orleans,LA,30.033475,-89.97736
913,1986-03-18,Decorah,IA,43.345879,-91.77187
914,1986-07-08,Cassville,MO,36.681589,-93.85105
915,1986-08-05,Stafford,TX,29.626187,-95.57145
916,1986-08-12,Hattiesburg,MS,31.325437,-89.37926
917,1986-07-08,Brady,TX,31.121411,-99.3407
918,1986-04-01,Marshall,TX,32.547424,-94.37958
919,1986-06-17,Fort Walton Beach,FL,30.447248,-86.62113
921,1986-03-05,Salida,CO,38.533464,-106.03468
922,1986-06-17,Corydon,IN,38.208144,-86.12978
923,1986-04-29,Noblesville,IN,40.050109,-85.99815
924,1986-03-11,Sterling,CO,40.633845,-103.21574
925,1986-03-11,Seffner,FL,27.987925,-82.28819
926,1986-09-16,Falfurrias,TX,27.217893,-98.16479
927,1986-08-05,Plainview,TX,34.191002,-101.72506
929,1986-08-19,Port Saint Lucie,FL,27.291694,-80.29691
930,1986-07-01,Montgomery,AL,32.31324,-86.23672
931,1986-09-02,Vero Beach,FL,27.645377,-80.51468
932,1986-07-15,Griffin,GA,33.268185,-84.27306
933,1986-09-30,Rochelle,IL,41.935139,-89.06891
934,1986-07-15,Daphne,AL,30.620594,-87.88312
935,1986-09-30,Denham Springs,LA,30.468526,-90.92827
936,1986-11-18,Effingham,IL,39.123807,-88.56
937,1986-09-02,Marietta,GA,34.027533,-84.51475
938,1986-07-01,Montgomery,AL,32.373714,-86.16443
939,1986-09-02,Waco,TX,31.535916,-97.18588
940,1986-07-15,Fort Worth,TX,32.762563,-97.48079
941,1986-09-30,Brandon,FL,27.911201,-82.2948
942,1986-07-15,Ocoee,FL,28.574628,-81.52946
943,1986-09-30,Casselberry,FL,28.665125,-81.31772
944,1986-06-17,Crestview,FL,30.757479,-86.51088
945,1986-07-01,Lubbock,TX,33.591877,-101.94754
946,1987-02-03,Piedmont,MO,37.151397,-90.69685
947,1986-08-19,Sherman,TX,33.632806,-96.59106
948,1987-05-12,Hickory,NC,35.70701,-81.3534
949,1986-09-02,Dallas,TX,32.666984,-96.87633
950,1986-09-02,Memphis,TN,35.208709,-89.805179999999993
951,1986-09-02,Hempstead,TX,30.096649,-96.06979
952,1986-09-09,Moultrie,GA,31.165358,-83.77172
953,1986-08-12,Loveland,CO,40.383636,-105.10349
954,1986-09-30,Hazlehurst,MS,31.841281,-90.42995
955,1986-09-02,Apopka,FL,28.658395,-81.50319
956,1986-08-19,Satellite Beach,FL,28.172041,-80.59957
957,1986-09-16,Geneseo,IL,41.464473,-90.15854
958,1986-11-11,Platteville,WI,42.743948,-90.48625
959,1986-09-09,Bushnell,FL,28.663132,-82.14042
960,1986-09-09,Dunnellon,FL,29.060092,-82.35195
961,1987-02-03,La Place,LA,30.073941,-90.48516
962,1986-09-16,Trinidad,CO,37.191882,-104.47809
963,1987-01-13,Weatherford,TX,32.77516,-97.77987
964,1987-02-03,El Paso,TX,31.70831,-106.32749
965,1986-09-16,Tomah,WI,43.984412,-90.48416
966,1986-09-09,Cortez,CO,37.344985,-108.60355
967,1986-09-16,Spring Hill,FL,28.470236,-82.59741
968,1986-08-05,Winter Haven,FL,27.997276,-81.74554
969,1986-11-18,Gulfport,MS,30.461786,-89.10381
970,1986-11-18,Picayune,MS,30.52798,-89.66611
971,1986-10-28,Viroqua,WI,43.543934,-90.89904
972,1987-02-03,Fort Worth,TX,32.823629,-97.45167
973,1987-08-18,Fort Pierce,FL,27.448688,-80.36247
974,1986-11-11,Melbourne,FL,28.073891,-80.67167
975,1986-11-11,Durant,OK,34.009209,-96.38612
976,1986-11-18,Winnsboro,LA,32.156791,-91.72874
977,1986-11-11,Fernandina Beach,FL,30.641487,-81.46092
978,1987-01-13,Arkansas City,KS,37.067387,-97.02831
979,1986-11-18,Sparta,WI,43.96977,-90.80796
980,1986-11-18,Greeley,CO,40.421845,-104.69175
981,1986-11-18,Meridian,MS,32.339004,-88.6596
982,1986-11-18,Owatonna,MN,44.07393,-93.22716
983,1987-02-03,Blue Earth,MN,43.630763,-94.10129
984,1986-11-18,Castle Rock,CO,39.385141,-104.85962
985,1986-11-11,Fairfield,IA,41.017736,-91.95
986,1987-02-03,Frisco,CO,39.532506,-106.14029
987,1987-03-31,Fort Myers,FL,26.501582,-81.82841
988,1987-01-13,Land O Lakes,FL,28.233671,-82.45463
989,1986-11-11,Metairie,LA,29.997168,-90.2138
990,1986-09-16,Milton,FL,30.627637,-87.16724
991,1986-11-11,Mobile,AL,30.674057,-88.10249
