station_id,name,lat,lon,altitude,date,precipitation,mean_temp,max_temp,min_temp
2700,Kösching,48.8302,11.4872,416,2026-03-10,0.3,9.2,16.9,3.2
2704,Köthen (Anhalt),51.7511,12.0094,76,2026-03-10,0,9.6,18,1.9
2708,"Kohlgrub, Bad (Rosshof)",47.6652,11.0805,742,2026-03-10,0.1,8.8,16.9,2.4
2712,Konstanz,47.6952,9.1307,428,2026-03-10,0.2,9.4,16.9,1.8
2750,Kronach,50.2524,11.3209,310,2026-03-10,0.2,6.4,16.8,-1.3
2773,Kümmersbruck,49.4283,11.9016,416,2026-03-10,0.1,8.1,,
2794,Kyritz,52.9362,12.4093,40,2026-03-10,1.1,7.2,16.9,-1
2796,Laage-Kronskamp,53.9156,12.279,40,2026-03-10,0.6,8.2,,
2812,Lahr,48.3647,7.828,156,2026-03-10,7.1,10.8,17.2,3.5
2856,Langenlipsdorf,51.9173,13.0878,92,2026-03-10,0,8.2,16.8,2.2
2878,"Lauchstädt, Bad",51.3909,11.8786,117,2026-03-10,0.8,9.5,17.4,2.6
2886,Laupheim,48.2175,9.9097,539,2026-03-10,2.3,9.2,,
2897,Lautertal-Hörgenau,50.5808,9.2857,522,2026-03-10,,,,
2905,Lechfeld,48.1849,10.8507,550,2026-03-10,0.3,8.9,,
2907,Leck,54.7903,8.9514,7,2026-03-10,0.2,5.5,10.5,1.8
2925,Leinefelde,51.3932,10.3123,356,2026-03-10,1,9.4,17.1,2.9
2928,Leipzig-Holzhausen,51.3151,12.4462,138,2026-03-10,0,10.3,17.1,5.5
2932,Leipzig/Halle,51.4347,12.2396,131,2026-03-10,0,10.1,17,4.9
2947,Lennestadt-Theten,51.1333,8.0348,286,2026-03-10,4.2,7.8,16.5,-0.1
2951,Lenzen/Elbe,53.1007,11.4864,20,2026-03-10,0.4,8.4,17.8,-0.9
2953,Lenzkirch-Ruhbühl,47.8597,8.2308,854,2026-03-10,2.7,6.5,13.7,0.1
2961,Leuchtturm Kiel,54.4996,10.2737,0,2026-03-10,,5.7,10.6,1.8
2985,Lichtenhain-Mittelndorf,50.9383,14.2094,321,2026-03-10,0,10.4,15.7,6.6
3015,Lindenberg,52.2085,14.118,98,2026-03-10,0,10,16.2,4.9
3028,"Lippspringe, Bad",51.7854,8.8388,157,2026-03-10,7.3,9.5,18.5,1.2
3031,Lippstadt-Bökenförde,51.6336,8.3945,92,2026-03-10,2.6,10.5,19.8,2.7
3032,List auf Sylt,55.011,8.4125,25,2026-03-10,0.1,4.3,,
3034,"Lobenstein, Bad",50.4505,11.635,496,2026-03-10,0,6.1,15.6,-0.3
3042,Löhnberg-Obershausen,50.5617,8.2386,230,2026-03-10,6.4,8.5,17.8,1.9
3083,Lübben-Blumenfelde,51.9267,13.8797,57,2026-03-10,0,8,,1.7
3086,Lübeck-Blankensee,53.8025,10.6989,15,2026-03-10,1.3,8.8,17.8,0
3093,Lüchow,52.9724,11.1374,16,2026-03-10,1,8.7,18.1,-0.8
3098,Lüdenscheid,51.2452,7.6425,387,2026-03-10,2.7,9.7,16.2,4
3126,Magdeburg,52.1029,11.5827,79,2026-03-10,1.7,10.2,18.2,2.6
3137,Mainz-Lerchenberg (ZDF),49.9658,8.2049,199,2026-03-10,0,11.5,18.2,6.4
3147,Mallersdorf-Pfaffenberg-Oberlindhart,48.7548,12.2118,390,2026-03-10,0,8,17.1,1.9
3155,Manderscheid-Sonnenhof,50.1015,6.8009,415,2026-03-10,1,7.9,14.3,1.5
3158,Manschnow,52.5468,14.5453,12,2026-03-10,0,8.2,16.8,2.5
3164,"Cölbe, Kr. Marburg-Biedenkopf",50.8492,8.7745,187,2026-03-10,1.7,8.7,18.4,0.5
3166,Marienberg,50.6511,13.1469,639,2026-03-10,0,9,13.8,5
3167,"Marienberg, Bad",50.6621,7.9603,547,2026-03-10,0,10.9,15.4,6.3
3181,Markt Erlbach-Hagenhofen,49.4875,10.6277,360,2026-03-10,0.1,8.2,17.3,-0.1
3196,Marnitz,53.3221,11.9324,81,2026-03-10,0,9.2,16.5,0.9
3204,Martinroda,50.7335,10.8815,429,2026-03-10,2.3,10.9,17.3,4.7
3226,Aschersleben-Mehringen,51.7259,11.511,108,2026-03-10,0,8.8,17.7,0.3
3231,Meiningen,50.5611,10.3771,450,2026-03-10,2.1,8.4,14.7,1.6
3234,Klipphausen-Garsebach,51.1294,13.4328,158,2026-03-10,0,9.8,16.3,3.7
3244,Memmingen,47.9821,10.1384,614,2026-03-10,0.1,8.5,16.1,-0.3
3254,Meppen,52.7155,7.3176,19,2026-03-10,4.4,8.1,,
3257,"Mergentheim, Bad",49.4797,9.7832,278,2026-03-10,0.7,9.9,17.8,1.5
3268,Meßstetten-Appental,48.1694,8.9433,900,2026-03-10,0.1,7.4,14.8,-0.4
3271,Metten,48.8548,12.9189,314,2026-03-10,0,7.9,16.1,2.8
3278,Metzingen,48.5377,9.2734,354,2026-03-10,3,9.9,18.5,2.5
3284,Michelstadt,49.6692,9.0085,240,2026-03-10,0.5,10.4,19.8,1.9
3287,Michelstadt-Vielbrunn,49.7177,9.0997,453,2026-03-10,0.3,12.1,17,6.6
3289,Schmieritz-Weltwitz,50.7281,11.7838,356,2026-03-10,0,10.3,17.2,4.2
3307,Mittenwald-Buckelwiesen,47.4814,11.2649,983,2026-03-10,0,7.9,14.2,3.2
3319,Röllbach,49.7644,9.253,239,2026-03-10,0.2,10.1,19.3,1.5
3321,Mönchengladbach-Hilderath,51.1313,6.3608,76,2026-03-10,0.2,10.8,16.1,6.3
3348,Moringen-Lutterbeck,51.7209,9.8351,241,2026-03-10,1.4,8.2,17.6,1
3362,Mühlacker,48.9721,8.8735,243,2026-03-10,3.9,9.5,18.5,0.9
3366,Mühldorf,48.279,12.5024,406,2026-03-10,0,7.2,16.8,-0.1
3376,Müncheberg,52.5176,14.1232,64,2026-03-10,0,7.9,16.6,0.5
3379,München-Stadt,48.1632,11.5429,515,2026-03-10,0,11.1,17.7,6
3402,Münsingen-Apfelstetten,48.3851,9.4837,755,2026-03-10,0.7,8.3,15.7,1.6
3426,"Muskau, Bad",51.566,14.7008,127,2026-03-10,0,9.7,17.8,1.2
3442,"Nauheim, Bad",50.3574,8.7506,149,2026-03-10,0.1,10.4,19.5,2.9
3484,Neuburg an der Donau,48.7085,11.2147,379,2026-03-10,1,8.7,,
3485,Neuburg/Kammel-Langenhaslach,48.3114,10.3773,487,2026-03-10,1.8,8.9,17.3,1
3490,"Neuenahr, Bad-Ahrweiler",50.5346,7.0853,111,2026-03-10,0.5,11.5,18.8,4.4
3509,Stechlin-Menz,53.102,13.0421,78,2026-03-10,0,6.8,16.2,-0.6
3513,Neuhaus am Rennweg,50.5003,11.1345,845,2026-03-10,0,8.4,12.5,5.7
3527,Neukirchen-Hauptschwenda,50.8923,9.405,500,2026-03-10,0,9.9,16.2,3.6
3534,Neumarkt-Höhenberg,49.2713,11.4881,584,2026-03-10,,,,
3540,Neunkirchen-Seelscheid-Krawinkel,50.8446,7.372,195,2026-03-10,1.2,10.7,16.7,4.7
3545,Neunkirchen-Wellesweiler,49.344,7.2297,236,2026-03-10,0.4,8.8,16.9,0.9
3571,Neustadt am Kulm-Filchendorf,49.8174,11.8638,452,2026-03-10,1.1,7,15.8,0
3591,Nideggen-Schmidt,50.6743,6.424,350,2026-03-10,0.9,10.2,16,6.3
3603,Niederstetten,49.3895,9.9666,459,2026-03-10,1.9,10.4,,
3621,Reimlingen,48.8253,10.5067,435,2026-03-10,3.1,9,16.8,1.8
3623,Nörvenich-Niederbolheim,50.8294,6.6601,108,2026-03-10,0.8,10.5,,
3631,Norderney,53.7123,7.1519,12,2026-03-10,0.2,6.5,12.8,2.3
3639,Nordholz-Wanhöden,53.7647,8.6584,24,2026-03-10,4.5,7.5,,
3651,Northeim-Stöckheim,51.7521,9.945,111,2026-03-10,,,,
3660,Nürburg-Barweiler,50.3602,6.8697,485,2026-03-10,2.1,9.1,14.6,4.2
3667,Nürnberg-Netzstall,49.4258,11.2539,369,2026-03-10,4.4,7.3,16.8,-0.2
3668,Nürnberg,49.503,11.0549,314,2026-03-10,0.4,9.5,17.4,1.7
3679,Kiefersfelden-Gach,47.6187,12.1665,518,2026-03-10,0,8.8,17.6,2
3730,Oberstdorf,47.3984,10.2759,806,2026-03-10,0.6,7,17.3,-1.7
3734,Obersulm-Willsbach,49.128,9.3525,232,2026-03-10,2.4,10.7,18.4,2.9
3739,Oberviechtach,49.4521,12.4365,596,2026-03-10,0,8.9,14.9,4.1
3761,Öhringen,49.207,9.5176,276,2026-03-10,3.3,10.7,18.1,4.5
3811,Oschatz,51.296,13.0928,151,2026-03-10,0,10.6,16.9,5
3821,Osterfeld,51.0872,11.9293,244,2026-03-10,0,10.9,17.2,5.4
3836,Ostheim v.d. Rhön,50.4538,10.2211,314,2026-03-10,1.4,6.5,16.5,-2.1
3857,Oy-Mittelberg-Petersthal,47.6362,10.3892,886,2026-03-10,5.5,8,15.8,1.2
3875,Parsberg/Oberpfalz-Eglwang,49.151,11.6897,549,2026-03-10,1.2,8.8,16.2,3.1
3897,Pelzerhaken,54.0893,10.8773,2,2026-03-10,2.8,6.3,14.7,-1.3
3904,Perl-Nennig,49.5354,6.3789,152,2026-03-10,0,7.7,15.3,0.7
3905,Perl-Sinz-Renglischberg,49.5214,6.4476,407,2026-03-10,,,,
3925,Pforzheim-Ispringen,48.9329,8.6973,332,2026-03-10,5.2,10.1,17,3.4
3927,Pfullendorf,47.9345,9.2869,630,2026-03-10,0.8,7.6,16.2,-0.1
3939,Pirmasens,49.1912,7.5879,382,2026-03-10,0,10.5,14.9,5.8
3946,Plauen,50.4818,12.13,387,2026-03-10,0,8.4,16.8,1.1
3975,Pommelsbrunn-Mittelburg,49.4777,11.5357,522,2026-03-10,1.8,9.1,15.6,4.5
3987,Potsdam,52.3812,13.0622,81,2026-03-10,0.1,10.1,16.8,4
4024,Putbus,54.3643,13.4771,40,2026-03-10,0,8.2,14,2.2
4032,Quedlinburg,51.7953,11.132,142,2026-03-10,0.2,10.2,18.3,2.1
4036,Querfurt-Mühle Lodersleben,51.3895,11.5412,206,2026-03-10,0.2,9.3,17,2.4
4039,Quickborn,53.7331,9.8776,11,2026-03-10,0.9,8.3,18.2,-0.5
4063,Rahden-Kleinendorf,52.4461,8.5906,41,2026-03-10,0.4,10.2,18.3,1.6
4094,"Weingarten, Kr. Ravensburg",47.8062,9.6206,441,2026-03-10,3.4,9.2,18.5,0.8
4104,Regensburg,49.0425,12.1019,365,2026-03-10,0.7,8.8,16.8,3
4127,Reichshof-Eckenhagen,50.9906,7.6958,347,2026-03-10,2.5,10.7,16.4,5.4
4160,Renningen-Ihinger Hof,48.7425,8.924,478,2026-03-10,3.6,8.9,16.5,1.7
4169,Rheinau-Memprechtshofen,48.6703,7.9939,131,2026-03-10,3.5,10.1,17.3,2.5
4175,Rheinfelden,47.559,7.7721,283,2026-03-10,1.6,9.6,16.2,2.7
4177,Rheinstetten,48.9726,8.3301,116,2026-03-10,3.6,10.7,18.3,3.2
4189,"Altheim, Kreis Biberach",48.1479,9.4596,534,2026-03-10,1.7,7.9,16.8,-0.6
4271,Rostock-Warnemünde,54.1803,12.0808,5,2026-03-10,2.7,8.7,13.8,4.1
4275,Rotenburg (Wümme),53.1289,9.3398,32,2026-03-10,1.6,9.6,18.2,1.2
4279,Roth bei Prüm,50.3046,6.3863,593,2026-03-10,,,,
4280,Roth,49.2162,11.1035,386,2026-03-10,3.3,8.7,17.5,1.1
4287,Rothenburg ob der Tauber,49.3849,10.1732,415,2026-03-10,0.3,10.1,17.5,3
4300,Rottweil,48.1815,8.6356,589,2026-03-10,0.2,7.9,17.2,0.5
4301,"Kreuznach, Bad",49.8502,7.871,102,2026-03-10,0,11.4,19,4.7
4323,Ruppertsecken,49.6468,7.8837,461,2026-03-10,0,11.7,15.5,7.7
4336,Saarbrücken-Ensheim,49.2128,7.1077,319,2026-03-10,0.6,9.5,15.3,4.6
4349,Sachsenheim,48.9569,9.0711,251,2026-03-10,1.8,10.4,18.4,3.6
4354,Saldenburg-Entschenreuth,48.7832,13.3146,457,2026-03-10,0,8,15.3,2.4
4371,"Salzuflen, Bad",52.1042,8.7521,135,2026-03-10,0.7,10.5,19,3.4
4377,Sandberg,50.3518,10.0034,518,2026-03-10,0.2,10.5,16.4,5.8
4393,Sankt Peter-Ording,54.3279,8.6031,5,2026-03-10,2.7,5.6,11.2,1.8
4411,Schaafheim-Schlierbach,49.9195,8.9672,155,2026-03-10,0.2,10.8,19.5,2
4445,Wernigerode-Schierke,51.7659,10.6533,614,2026-03-10,3.2,7.3,16,-0.2
4464,Schleiz,50.5679,11.8041,501,2026-03-10,0.8,10,16,5.6
4466,Schleswig,54.5275,9.5487,43,2026-03-10,3.7,7,14.5,1.2
4480,Schlüchtern-Herolz,50.3447,9.5533,232,2026-03-10,0,8.8,18.1,-0.3
4501,Schmücke,50.6545,10.7696,938,2026-03-10,2.8,7.5,12.4,4.6
4508,Schneifelforsthaus,50.2968,6.4194,653,2026-03-10,2,8.2,12.7,5.7
4548,Schönwald/Ofr.-Brunn,50.1847,12.0791,608,2026-03-10,0,6.7,14.1,1.3
4559,Schorndorf-Knöbling,49.1644,12.6175,398,2026-03-10,0,6.7,16.4,0.3
4592,Schwandorf,49.3278,12.0871,356,2026-03-10,0.2,8,17.6,1.4
4605,Schwarzburg,50.6441,11.1936,277,2026-03-10,0,8.2,18,0.5
4625,Schwerin,53.6424,11.3871,59,2026-03-10,3.2,9.5,17.1,1.6
4642,Seehausen,52.8911,11.7297,22,2026-03-10,0.1,8.6,17.5,-1
4651,Seesen,51.904,10.1885,189,2026-03-10,0.1,9.8,17.8,1.9
4703,Sigmaringen-Laiz,48.0719,9.1943,581,2026-03-10,0.8,7.7,17.2,-0.3
4704,Sigmarszell-Zeisertsweiler,47.5776,9.7404,508,2026-03-10,9.8,8.7,15.6,0.5
4706,Simbach/Inn,48.2718,13.0273,358,2026-03-10,0,7.2,17.8,-0.7
4709,Simmern-Wahlbach,49.9996,7.5981,445,2026-03-10,0,10.1,15.8,5.4
4745,Soltau,52.9604,9.793,75,2026-03-10,3.2,8.9,17.8,-0.3
4748,Sondershausen,51.3691,10.88,185,2026-03-10,0.1,8.4,18.3,0.3
4763,Sontra,51.0607,9.9266,265,2026-03-10,0.3,7,17.2,-1.6
4813,"Staffelstein, Bad-Stublang",50.0806,11.0467,318,2026-03-10,0,7.3,,
